???	нсв_есть	есть¹
???	нсв_b/c_клясть	клясть
1	нсв_1a	расценивать
1	нсв_1a	размечать
1	нсв_1a	отплёскивать
1	нсв_1a	отогревать
1	нсв_1a	подзабывать
1	нсв_1a	отучать
1	нсв_1a	напяливать
1	нсв_1a	усматривать
1	нсв_1a	укалывать
1	нсв_1a	испрыскивать
1	нсв_1a	завязывать
1	нсв_1a	вкапывать¹
1	нсв_1a	настряпывать
1	нсв_1a	учёсывать
1	нсв_1a	прорезать
1	нсв_1a	выбучивать²
1	нсв_1a	размуровывать
1	нсв_1a	смётывать²
1	нсв_1a	рассматривать
1	нсв_1a	наторговывать
1	нсв_1a	стругать
1	нсв_1a	предназначать
1	нсв_1a	подторговывать
1	нсв_1a	тыркать
1	нсв_1a	вывивать
1	нсв_1a	промораживать
1	нсв_1a	ополовинивать
1	нсв_1a	ощеривать
1	нсв_1a	внедрять
1	нсв_1a	пресуществлять
1	нсв_1a	переполнять
1	нсв_1a	досказывать
1	нсв_1a	совращать
1	нсв_1a	помещать
1	нсв_1a	пленять
1	нсв_1a	накренять
1	нсв_1a	отказывать²
1	нсв_1a	впивать
1	нсв_1a	укапывать
1	нсв_1a	прободать²
1	нсв_1a	перемётывать²
1	нсв_1a	перелаживать
1	нсв_1a	претерпевать
1	нсв_1a	обстригать
1	нсв_1a	прикручивать
1	нсв_1a	подсылать
1	нсв_1a	увековечивать
1	нсв_1a	ссучивать
1	нсв_1a	отснимать
1	нсв_1a	оскабливать
1	нсв_1a	наддирать
1	нсв_1a	подколачивать
1	нсв_1a	прокидывать²
1	нсв_1a	ущерблять
1	нсв_1a	надрезывать
1	нсв_1a	оцинковывать
1	нсв_1a	перебаллотировывать
1	нсв_1a	надпивать
1	нсв_1a	замаливать
1	нсв_1a	вытворять
1	нсв_1a	переучивать
1	нсв_1a	вшибать
1	нсв_1a	надстрагивать
1	нсв_1a	вливать
1	нсв_1a	подлупливать
1	нсв_1a	вытягивать
1	нсв_1a	уплотнять
1	нсв_1a	втолковывать
1	нсв_1a	подплёскивать
1	нсв_1a	втасовывать
1	нсв_1a	надклеивать
1	нсв_1a	отслюнивать
1	нсв_1a	обсиживать
1	нсв_1a	предсказывать
1	нсв_1a	привёртывать
1	нсв_1a	обезболивать
1	нсв_1a	изображать
1	нсв_1a	выгладывать
1	нсв_1a	убаюкивать
1	нсв_1a	воображать
1	нсв_1a	разруливать
1	нсв_1a	усыпать
1	нсв_1a	сманивать
1	нсв_1a	жахать
1	нсв_1a	умедлять
1	нсв_1a	перештопывать
1	нсв_1a	приталкивать
1	нсв_1a	перевыполнять
1	нсв_1a	подкапливать
1	нсв_1a	отпаривать
1	нсв_1a	подтачивать¹
1	нсв_1a	замызгивать
1	нсв_1a	перелистывать
1	нсв_1a	примащивать
1	нсв_1a	испускать
1	нсв_1a	искраивать
1	нсв_1a	заграбастывать
1	нсв_1a	приплетать
1	нсв_1a	облапливать
1	нсв_1a	прочитывать
1	нсв_1a	насматривать
1	нсв_1a	отстирывать
1	нсв_1a	нахлёстывать²
1	нсв_1a	вспугивать
1	нсв_1a	расчеканивать
1	нсв_1a	пригвождать
1	нсв_1a	выгранивать
1	нсв_1a	взмучивать
1	нсв_1a	предписывать
1	нсв_1a	растискивать¹
1	нсв_1a	законопачивать
1	нсв_1a	перебелять
1	нсв_1a	отшпандоривать
1	нсв_1a	удостоверять
1	нсв_1a	подтверждать
1	нсв_1a	погашать
1	нсв_1a	высвечивать
1	нсв_1a	скатывать¹
1	нсв_1a	докидывать¹
1	нсв_1a	обеспечивать
1	нсв_1a	вздрючивать
1	нсв_1a	настрагивать
1	нсв_1a	опахивать¹
1	нсв_1a	набучивать²
1	нсв_1a	прошпаклёвывать
1	нсв_1a	вверять
1	нсв_1a	ополчать
1	нсв_1a	покрывать
1	нсв_1a	задавливать
1	нсв_1a	обезличивать
1	нсв_1a	пристыжать
1	нсв_1a	напекать
1	нсв_1a	ославлять
1	нсв_1a	затемнять
1	нсв_1a	расшнуровывать
1	нсв_1a	околачивать
1	нсв_1a	раскочегаривать
1	нсв_1a	распарывать
1	нсв_1a	проващивать
1	нсв_1a	выскрёбывать
1	нсв_1a	вкатывать²
1	нсв_1a	притормаживать
1	нсв_1a	ощупывать
1	нсв_1a	перезаряжать
1	нсв_1a	дожирать
1	нсв_1a	снабжать
1	нсв_1a	протраливать
1	нсв_1a	протискивать
1	нсв_1a	ухлопывать
1	нсв_1a	удочерять
1	нсв_1a	вычерпывать
1	нсв_1a	охлаждать
1	нсв_1a	напрессовывать
1	нсв_1a	ссужать
1	нсв_1a	всполаскивать
1	нсв_1a	перекусывать
1	нсв_1a	вылеплять
1	нсв_1a	заедать
1	нсв_1a	изгонять
1	нсв_1a	разминать
1	нсв_1a	расшевеливать
1	нсв_1a	разыгрывать
1	нсв_1a	простёгивать
1	нсв_1a	заражать
1	нсв_1a	догрызать
1	нсв_1a	забучивать¹
1	нсв_1a	притыкать
1	нсв_1a	вытаптывать
1	нсв_1a	пособирать
1	нсв_1a	прикусывать
1	нсв_1a	натаскивать¹
1	нсв_1a	смаивать
1	нсв_1a	закашивать
1	нсв_1a	надгибать
1	нсв_1a	спихивать
1	нсв_1a	одерживать
1	нсв_1a	выконопачивать
1	нсв_1a	откладывать
1	нсв_1a	перезолачивать
1	нсв_1a	накалывать
1	нсв_1a	разлеплять
1	нсв_1a	привешивать
1	нсв_1a	перескакивать²
1	нсв_1a	усыновлять
1	нсв_1a	сдваивать
1	нсв_1a	доламывать
1	нсв_1a	сжижать
1	нсв_1a	перехлопывать
1	нсв_1a	забрасывать²
1	нсв_1a	умолять
1	нсв_1a	мыкать
1	нсв_1a	прокидывать¹
1	нсв_1a	скупать
1	нсв_1a	хватать¹
1	нсв_1a	подплетать
1	нсв_1a	отверчивать
1	нсв_1a	вымежёвывать
1	нсв_1a	прибрасывать
1	нсв_1a	пускать
1	нсв_1a	хрумкать
1	нсв_1a	надсыпать
1	нсв_1a	протаптывать
1	нсв_1a	отуманивать
1	нсв_1a	подпрягать
1	нсв_1a	объезжать²
1	нсв_1a	вымешивать
1	нсв_1a	счаливать
1	нсв_1a	наворачивать²
1	нсв_1a	вдвигать
1	нсв_1a	взбалтывать
1	нсв_1a	возбуждать
1	нсв_1a	огораживать
1	нсв_1a	прикармливать
