@relation arabicReadingDifficulty

@attribute sentence_length NUMERIC
@attribute word_length NUMERIC
@attribute lexical_diversity NUMERIC
@attribute lexical_complexity NUMERIC
@attribute max_lexical_complexity NUMERIC
@attribute p95 NUMERIC
@attribute mean NUMERIC
@attribute median NUMERIC
@attribute noun NUMERIC
@attribute pron NUMERIC
@attribute verb NUMERIC
@attribute prep NUMERIC
@attribute part NUMERIC
@attribute conj NUMERIC
@attribute adv NUMERIC	
@attribute adj NUMERIC
@attribute difficulty {1.0, 2.0, 3.0, 4.0}

@data 
26.875,5.0093023255813955,0.25116279069767444,0.0,0.0,3081347,341626.03255813953,48211.0,0.4604651162790698,0.027906976744186046,0.13953488372093023,0.09767441860465116,0.018604651162790697,0.10697674418604651,0.05116279069767442,0.09767441860465116,2.0
34.0,6.764705882352941,0.23529411764705882,0.0,0.0,3026782,500505.14705882355,20719.0,0.6764705882352942,0.0,0.0,0.29411764705882354,0.0,0.0,0.0,0.029411764705882353,1.0
13.625,5.821100917431193,0.5137614678899083,0.0,0.0,3026782,382671.36180904525,27608.0,0.555045871559633,0.04128440366972477,0.10550458715596331,0.1651376146788991,0.013761467889908258,0.0045871559633027525,0.013761467889908258,0.10091743119266056,1.0
18.0,9.944444444444445,0.8888888888888888,0.0,0.0,3081347,313911.05555555556,27067.0,0.6111111111111112,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,1.0
18.5,11.594594594594595,0.7837837837837838,0.0,0.0,3026782,240348.22857142857,30340.0,0.6486486486486487,0.02702702702702703,0.10810810810810811,0.05405405405405406,0.0,0.05405405405405406,0.0,0.10810810810810811,1.0
13.5,9.37037037037037,0.8518518518518519,0.0,0.0,1238650,310520.6956521739,22202.0,0.5185185185185185,0.037037037037037035,0.18518518518518517,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.0,0.07407407407407407,1.0
25.0,9.2,0.92,0.0,0.0,3026782,452000.28,43708.0,0.56,0.08,0.04,0.12,0.0,0.0,0.0,0.2,1.0
10.5,5.238095238095238,0.8571428571428571,0.0,0.0,1797539,259396.66666666666,18508.0,0.6190476190476191,0.0,0.23809523809523808,0.09523809523809523,0.0,0.0,0.0,0.047619047619047616,1.0
8.5,8.094117647058823,0.49411764705882355,0.0,0.0,3026782,321513.3493975904,21814.0,0.6941176470588235,0.0,0.07058823529411765,0.16470588235294117,0.0,0.023529411764705882,0.011764705882352941,0.03529411764705882,1.0
11.833333333333334,8.183098591549296,0.38028169014084506,0.0,0.0,3026782,375121.6567164179,20719.0,0.704225352112676,0.014084507042253521,0.056338028169014086,0.19718309859154928,0.014084507042253521,0.0,0.0,0.014084507042253521,1.0
